,Date,Iron_Price,Silver_Price,Gold_Price,Copper_Price,S&P_GSCI_Price
118,2009-11,101.6,18.14,"1,175.75",18.14,"4,495.31"
119,2009-12,118.2,16.99,"1,104.00",16.99,"4,534.17"
120,2010-01,120.0,16.29,"1,078.50",16.29,"4,176.22"
121,2010-02,133.1,16.12,"1,108.25",16.12,"4,408.36"
122,2010-03,153.6,17.5,"1,115.50",17.5,"4,493.67"
123,2010-04,172.9,18.62,"1,179.25",18.62,"4,618.37"
124,2010-05,145.2,18.53,"1,207.50",18.53,"4,009.25"
125,2010-06,138.9,18.74,"1,244.00",18.74,"4,025.97"
126,2010-07,136.3,17.66,"1,169.00",17.66,"4,252.64"
127,2010-08,141.5,18.87,"1,246.00",18.87,"4,017.69"
128,2010-09,141.1,22.07,"1,307.00",22.07,"4,358.72"
129,2010-10,149.1,23.96,"1,346.75",23.96,"4,470.16"
130,2010-11,167.8,27.13,"1,383.50",27.13,"4,518.55"
131,2010-12,170.1,30.63,"1,410.25",30.63,"4,943.41"
132,2011-01,185.6,27.75,"1,327.00",27.75,"5,094.27"
133,2011-02,182.8,33.49,"1,411.00",33.49,"5,285.08"
134,2011-03,172.4,37.87,"1,439.00",37.87,"5,515.06"
135,2011-04,181.5,48.7,"1,535.50",48.7,"5,758.37"
136,2011-05,169.8,38.65,"1,536.50",38.65,"5,361.71"
137,2011-06,166.8,35.02,"1,505.50",35.02,"5,077.25"
138,2011-07,175.5,39.63,"1,628.50",39.63,"5,200.87"
139,2011-08,179.9,41.35,"1,813.50",41.35,"5,104.94"
140,2011-09,171.3,30.45,"1,620.00",30.45,"4,483.73"
141,2011-10,118.4,34.24,"1,722.00",34.24,"4,920.72"
142,2011-11,130.9,31.35,"1,746.00",31.35,"4,990.43"
143,2011-12,138.5,28.18,"1,574.50",28.18,"4,885.26"
144,2012-01,142.4,33.6,"1,744.00",33.6,"4,994.31"
145,2012-02,143.0,37.23,"1,770.00",37.23,"5,297.13"
146,2012-03,147.6,32.43,"1,662.50",32.43,"5,172.64"
147,2012-04,145.4,31.2,"1,651.25",31.2,"5,146.09"
148,2012-05,134.8,28.1,"1,558.00",28.1,"4,478.23"
149,2012-06,134.0,27.08,"1,598.50",27.08,"4,532.03"
150,2012-07,117.0,28.2,"1,622.00",28.2,"4,820.88"
151,2012-08,89.4,30.52,"1,648.50",30.52,"5,127.74"
152,2012-09,104.2,34.65,"1,776.00",34.65,"5,054.81"
153,2012-10,119.3,32.28,"1,719.00",32.28,"4,849.29"
154,2012-11,115.6,34.28,"1,726.00",34.28,"4,920.92"
155,2012-12,144.9,29.95,"1,664.00",29.95,"4,889.01"
156,2013-01,152.5,32.03,"1,664.75",32.03,"5,102.05"
157,2013-02,151.7,28.95,"1,588.50",28.95,"4,878.31"
158,2013-03,137.3,28.64,"1,598.25",28.64,"4,915.86"
159,2013-04,134.1,24.42,"1,469.00",24.42,"4,683.33"
160,2013-05,110.4,22.57,"1,394.50",22.57,"4,613.59"
161,2013-06,116.5,18.86,"1,192.00",18.86,"4,624.37"
162,2013-07,129.9,19.94,"1,314.50",19.94,"4,851.60"
163,2013-08,137.7,23.64,"1,394.75",23.64,"5,015.39"
164,2013-09,131.4,21.68,"1,326.50",21.68,"4,845.28"
165,2013-10,131.9,22.2,"1,324.00",22.2,"4,775.37"
166,2013-11,136.4,19.93,"1,253.00",19.93,"4,738.15"
167,2013-12,134.2,19.5,"1,201.50",19.5,"4,829.47"
168,2014-01,122.6,19.31,"1,251.00",19.31,"4,750.44"
169,2014-02,118.1,21.27,"1,326.50",21.27,"4,964.60"
170,2014-03,116.8,19.97,"1,291.75",19.97,"4,971.54"
171,2014-04,105.4,19.28,"1,288.50",19.28,"5,008.40"
172,2014-05,91.8,19.0,"1,250.50",19.0,"4,999.62"
173,2014-06,93.8,20.87,"1,315.00",20.87,"5,105.46"
174,2014-07,95.6,20.69,"1,285.25",20.69,"4,835.02"
175,2014-08,87.9,19.47,"1,285.75",19.47,"4,755.75"
176,2014-09,77.5,17.11,"1,216.50",17.11,"4,469.27"
177,2014-10,78.5,16.2,"1,164.25",16.2,"4,201.84"
178,2014-11,69.8,15.97,"1,182.75",15.97,"3,742.98"
179,2014-12,71.2,15.97,"1,199.25",15.97,"3,232.80"
180,2015-01,61.7,16.92,"1,260.25",16.92,"2,990.45"
181,2015-02,63.0,16.53,"1,214.00",16.53,"3,183.79"
182,2015-03,51.0,16.6,"1,187.00",16.6,"2,967.12"
183,2015-04,56.2,16.52,"1,180.25",16.52,"3,295.22"
184,2015-05,61.4,16.67,"1,191.40",16.67,"3,229.74"
185,2015-06,59.3,15.7,"1,171.00",15.7,"3,226.12"
186,2015-07,52.9,14.56,"1,098.40",14.56,"2,771.17"
187,2015-08,55.7,14.44,"1,135.00",14.44,"2,779.47"
188,2015-09,54.4,14.65,"1,114.00",14.65,"2,603.62"
189,2015-10,49.5,15.63,"1,142.35",15.63,"2,609.60"
190,2015-11,42.8,14.08,"1,061.90",14.08,"2,375.62"
191,2015-12,42.9,13.82,"1,062.25",13.82,"2,170.62"
192,2016-01,41.5,14.08,"1,111.80",14.08,"2,058.38"
193,2016-02,48.9,14.75,"1,234.90",14.75,"2,016.99"
194,2016-03,53.2,15.38,"1,237.00",15.38,"2,116.44"
195,2016-04,65.2,17.86,"1,285.65",17.86,"2,331.04"
196,2016-05,49.6,16.06,"1,212.10",16.06,"2,382.75"
197,2016-06,54.2,18.36,"1,320.75",18.36,"2,384.66"
198,2016-07,58.8,20.04,"1,342.00",20.04,"2,156.50"
199,2016-08,59.0,18.74,"1,309.25",18.74,"2,194.65"
200,2016-09,55.2,19.35,"1,322.50",19.35,"2,285.61"
201,2016-10,63.8,17.76,"1,272.00",17.76,"2,251.39"
202,2016-11,73.5,16.67,"1,178.10",16.67,"2,308.46"
203,2016-12,81.8,16.24,"1,159.10",16.24,"2,417.31"
204,2017-01,84.0,17.29,"1,212.80",17.29,"2,383.16"
205,2017-02,91.2,18.28,"1,255.60",18.28,"2,388.70"
206,2017-03,79.8,18.06,"1,244.85",18.06,"2,295.19"
207,2017-04,67.8,17.41,"1,266.45",17.41,"2,246.85"
208,2017-05,57.8,17.31,"1,266.20",17.31,"2,212.33"
209,2017-06,63.9,16.47,"1,242.25",16.47,"2,169.81"
210,2017-07,73.8,16.76,"1,267.55",16.76,"2,269.29"
211,2017-08,77.2,17.34,"1,311.75",17.34,"2,251.67"
212,2017-09,61.7,16.86,"1,283.10",16.86,"2,326.46"
213,2017-10,58.7,16.82,"1,270.15",16.82,"2,415.28"
214,2017-11,68.16,16.57,"1,280.20",16.57,"2,448.66"
215,2017-12,72.4,16.87,"1,296.50",16.87,"2,556.71"
216,2018-01,72.05,17.23,"1,345.05",17.23,"2,644.13"
217,2018-02,78.02,16.44,"1,317.85",16.44,"2,555.82"
218,2018-03,64.89,16.28,"1,323.85",16.28,"2,612.60"
219,2018-04,65.65,16.38,"1,313.20",16.38,"2,744.20"
220,2018-05,64.88,16.55,"1,305.35",16.55,"2,783.92"
221,2018-06,64.73,16.03,"1,250.45",16.03,"2,821.65"
222,2018-07,67.67,15.43,"1,220.95",15.43,"2,722.02"
223,2018-08,66.03,14.66,"1,202.45",14.66,"2,751.35"
224,2018-09,68.11,14.31,"1,187.25",14.31,"2,859.44"
225,2018-10,73.96,14.34,"1,214.95",14.34,"2,692.36"
226,2018-11,64.77,14.24,"1,217.55",14.24,"2,388.63"
227,2018-12,71.3,15.47,"1,281.65",15.47,"2,203.47"
228,2019-01,84.45,16.08,"1,323.25",16.08,"2,401.53"
229,2019-02,83.43,15.82,"1,319.15",15.82,"2,493.11"
230,2019-03,86.37,15.1,"1,295.40",15.1,"2,533.23"
231,2019-04,93.79,14.99,"1,282.30",14.99,"2,605.41"
232,2019-05,97.76,14.48,"1,295.55",14.48,"2,391.42"
233,2019-06,112.9,15.22,"1,409.00",15.22,"2,497.37"
